Dino_X,Dino_Y,Star_X,Star_Y
75.1282,79.1026,62.5668,77.7439
76.6667,75.2564,72.1758,63.1289
77.6923,71.4103,79.4728,63.4087
79.7436,66.7949,80.3577,63.2954
81.7949,60.2564,78.7572,53.3326
83.3333,55.2564,82.5402,56.5411
85.1282,51.4103,86.4359,59.7928
86.4103,47.5641,79.4887,53.6517
87.9487,46.0256,81.5304,56.0254
89.4872,42.5641,79.1868,53.2348
93.3333,39.8718,77.8991,51.8225
95.3846,36.7949,75.1307,23.3724
98.2051,33.718,76.058,16.3837
56.6667,40.641,57.6147,33.8224
59.2308,38.3333,56.1714,32.118
60.7692,33.718,66.2879,26.1171
63.0769,29.1026,67.8817,24.236
64.1026,25.2564,64.0281,27.6727
64.359,24.1026,77.4967,14.9485
74.359,22.9487,77.6347,14.4619
71.2821,22.9487,77.8637,14.6107
67.9487,22.1795,77.3382,15.8901
65.8974,20.2564,76.1804,15.9126
63.0769,19.1026,77.2527,15.1515
61.2821,19.1026,77.4134,15.2219
58.7179,18.3333,76.7318,16.2168
55.1282,18.3333,49.4711,25.063
52.3077,18.3333,42.4765,18.3385
49.7436,17.5641,43.5951,19.9942
47.4359,16.0256,50.34,26.4714
44.8718,13.718,40.749,16.1821
48.7179,14.8718,38.3865,14.5802
51.2821,14.8718,38.404,14.4519
54.1026,14.8718,38.7643,14.3656
56.1538,14.1026,41.4701,17.278
52.0513,12.5641,47.1554,22.3779
48.7179,11.0256,39.5826,17.6485
47.1795,9.8718,41.7402,17.8293
46.1538,6.0256,39.3119,15.6407
50.5128,9.4872,41.6798,17.7459
53.8462,10.2564,39.0875,15.1223
57.4359,10.2564,41.4815,18.0474
60.0,10.641,77.6061,15.1629
64.1026,10.641,75.9827,16.3069
66.9231,10.641,76.9458,15.8585
71.2821,10.641,77.5437,15.2539
74.359,10.641,77.5847,15.83
78.2051,10.641,76.8223,15.5952
67.9487,8.718,77.3486,15.7745
68.4615,5.2564,77.5732,14.7806
68.2051,2.9487,77.9726,14.9557
37.6923,25.7692,41.5289,24.9164
39.4872,25.3846,43.7226,19.0773
91.2821,41.5385,79.3261,52.9004
50.0,95.7692,56.664,87.9401
47.9487,95.0,57.8218,90.6932
44.1026,92.6923,58.2432,92.1043
